batter,format,innings,runs,balls_faced,fours,sixes,strike_rate,avg_per_innings,perf_index
Taijul Islam,Test,54,831,2184,92,2,38.05,15.39,7.76
TM Odoyo,ODI,35,830,1201,71,18,69.11,23.71,13.83
VS Solanki,ODI,33,829,1194,105,4,69.43,25.12,13.81
VVS Laxman,ODI,27,828,1142,80,1,72.5,30.67,14.79
SHT Kandamby,ODI,32,827,1198,68,0,69.03,25.84,13.18
AL Phehlukwayo,ODI,52,827,996,74,32,83.03,15.9,14.79
Mohammad Nadeem,ODI,34,827,1319,61,9,62.7,24.32,12.53
PJ Hughes,ODI,24,826,1118,91,5,73.88,34.42,16.08
V Aravind,T20,34,821,736,80,21,111.55,24.15,19.36
JA Rudolph,ODI,25,820,1228,81,1,66.78,32.8,14.52
Agha Salman,T20,45,819,683,76,26,119.91,18.2,19.41
SE Rutherford,T20,43,818,564,61,52,145.04,19.02,23.91
Sarfraz Ahmed,T20,40,818,671,79,16,121.91,20.45,19.57
KH Prajapati,T20,43,816,785,80,26,103.95,18.98,17.67
SM Curran,Test,23,815,1272,96,21,64.07,35.43,16.06
MR Adair,T20,63,814,647,55,39,125.81,12.92,19.52
RL Chase,T20,42,813,701,74,20,115.98,19.36,18.79
AR McBrine,ODI,47,812,1110,82,14,73.15,17.28,12.93
MA Wood,Test,38,811,1150,110,20,70.52,21.34,14.14
YK Pathan,ODI,41,810,736,62,43,110.05,19.76,19.29
Kushal Malla,ODI,34,801,925,65,46,86.59,23.56,17.4
MNM Aslam,T20,47,801,714,73,18,112.18,17.04,17.72
AV Lazarus,T20,36,799,721,64,29,110.82,22.19,19.09
MF Maharoof,ODI,60,799,991,60,17,80.63,13.32,12.9
AC Voges,ODI,27,798,956,57,7,83.47,29.56,15.89
RN Patel,T20,45,797,710,83,17,112.25,17.71,17.93
LA Dunbar,T20,30,795,716,67,44,111.03,26.5,20.87
Selim Salau,T20,32,793,741,74,18,107.02,24.78,18.64
CL Cairns,ODI,30,790,894,59,28,88.37,26.33,17.05
IO Okpe,T20,67,788,752,33,31,104.79,11.76,15.95
Sharjeel Khan,ODI,24,787,692,102,27,113.73,32.79,21.94
BJ McMullen,T20,29,787,565,63,39,139.29,27.14,24.08
DM de Silva,T20,44,786,723,68,15,108.71,17.86,17.2
C Green,ODI,27,782,890,64,20,87.87,28.96,17.12
